Grid Size,Number of Colors,Average time taken to generate a valid board (in milliseconds)
"(5, 5)",3,3.16770792
"(5, 5)",4,3.267569542
"(5, 5)",5,3.380012512
"(5, 5)",6,3.086788654
"(5, 5)",7,2.874000072
"(5, 5)",8,5.23014307
"(5, 5)",9,3.571920395
"(5, 5)",10,3.746647835
"(5, 5)",11,4.589476585
"(5, 5)",12,4.572501183
"(5, 5)",13,4.627959728
"(5, 5)",14,8.046340942
"(5, 5)",15,8.740139008
"(5, 5)",16,11.72768116
"(5, 5)",17,7.936470509
"(5, 5)",18,8.710339069
"(5, 5)",19,8.044569492
"(7, 7)",3,134.7087598
"(7, 7)",4,12.1767807
"(7, 7)",5,21.85652256
"(7, 7)",6,13.68294239
"(7, 7)",7,12.69861221
"(7, 7)",8,10.73697805
"(7, 7)",9,12.66907215
"(7, 7)",10,10.71184158
"(7, 7)",11,11.39477015
"(7, 7)",12,13.56379032
"(7, 7)",13,18.3227396
"(7, 7)",14,15.33020258
"(7, 7)",15,12.37864971
"(7, 7)",16,16.99441195
"(7, 7)",17,16.27599239
"(7, 7)",18,16.45984888
"(7, 7)",19,15.88099003
"(7, 7)",20,18.46929073
"(7, 7)",21,19.28073883
"(7, 7)",22,20.83427191
"(7, 7)",23,22.36753941