Grid Size,Number of Colors,Average Number of Moves until Shuffle occurs,Number of Three Matches Occurred,Number of No Possible Moves Occurred,Average Score per Move,Average Number of Possible Moves per Configuration,Number of Avalanche matches occurred
"(5, 5)",3,inf,0,0,6.16,7.6,30
"(5, 5)",4,inf,0,0,4.5,4.72,23
"(5, 5)",5,12.5,0,4,4.2,4.38,18
"(5, 5)",6,8.333333333,0,6,3.84,4.78,14
"(5, 5)",7,5.555555556,0,9,3.8,2.56,13
"(5, 5)",8,2.272727273,0,22,3.32,4.74,7
"(5, 5)",9,2.272727273,0,22,3.44,4.6,8
"(5, 5)",10,0.980392157,0,51,3.14,6.1,8
"(5, 5)",11,0.735294118,0,68,3.18,4.54,7
"(5, 5)",12,0.877192982,0,57,3.06,6.56,7
"(5, 5)",13,0.632911392,0,79,3.12,4.42,5
"(5, 5)",14,0.520833333,0,96,3.2,2.52,5
"(5, 5)",15,0.561797753,0,89,3.2,1.96,4
"(5, 5)",16,0.243902439,0,205,3.12,3.1,5
"(7, 7)",3,inf,0,0,8.64,19.38,57
"(7, 7)",4,inf,0,0,6.42,10.92,37
"(7, 7)",5,inf,0,0,4.3,4.86,17
"(7, 7)",6,inf,0,0,4.38,4.56,18
"(7, 7)",7,25,0,2,4.2,7.4,16
"(7, 7)",8,16.66666667,0,3,3.24,4.4,3
"(7, 7)",9,6.25,0,8,4.12,4.7,16
"(7, 7)",10,4.166666667,0,12,3.38,9.04,8
"(7, 7)",11,4.545454545,0,11,3.24,3.66,5
"(7, 7)",12,3.125,0,16,3.3,12.72,8
"(7, 7)",13,2.173913043,0,23,3.52,15.16,13
"(7, 7)",14,2.173913043,0,23,3.3,11.12,10
"(7, 7)",15,1.851851852,0,27,3.12,6.42,5
"(7, 7)",16,1.020408163,0,49,3.12,12.16,8
"(7, 7)",17,1.923076923,0,26,3.2,7.8,6
"(7, 7)",18,1.388888889,0,36,3.3,10.72,7
"(7, 7)",19,1,0,50,3.2,12.3,9
"(7, 7)",20,0.694444444,0,72,3.14,10.62,5
"(7, 7)",21,0.757575758,0,66,3.1,14.92,9
"(7, 7)",22,0.684931507,0,73,3.2,12.04,8
"(7, 7)",23,0.526315789,0,95,3,8.98,3
"(7, 7)",24,0.41322314,0,121,3,7.44,3
"(7, 7)",25,0.45045045,0,111,3.06,10.54,5
"(7, 7)",26,0.581395349,0,86,3.06,5.76,3
"(7, 7)",27,0.357142857,0,140,3.06,7.32,5
"(7, 7)",28,0.45045045,0,111,3,10.28,4
"(7, 7)",29,0.290697674,0,172,3,7.26,4
"(7, 7)",30,0.248756219,0,201,3.06,8.88,4
"(7, 7)",31,0.238095238,0,210,3.06,10.22,5
"(7, 7)",32,0.197628458,0,253,3.06,13.38,7
"(7, 7)",33,0.152905199,0,327,3.02,5.66,3
"(7, 7)",34,0.192307692,0,260,3.02,8.76,4
"(7, 7)",35,0.204918033,0,244,3,8.62,4
"(7, 7)",36,0.087260035,0,573,3.06,16.36,10
"(10, 10)",4,inf,0,0,8.2,27.02,47
"(10, 10)",5,inf,0,0,6.2,17.7,38
"(10, 10)",6,inf,0,0,4.92,11.8,25
"(10, 10)",7,inf,0,0,3.64,8.94,8
"(10, 10)",8,50,0,1,3.5,5.5,7
"(10, 10)",9,25,0,2,3.92,11.32,14
"(10, 10)",10,25,0,2,3.8,11.74,12
"(10, 10)",11,16.66666667,0,3,3.46,10.84,9
"(10, 10)",12,10,0,5,3.22,4.26,3
"(10, 10)",13,8.333333333,0,6,3.12,13.48,5
"(10, 10)",14,6.25,0,8,3.46,16.9,7
"(10, 10)",15,5,0,10,3.38,19.66,9
"(10, 10)",16,5,0,10,3.12,19.58,5
"(10, 10)",17,3.125,0,16,3.54,26.46,12
"(10, 10)",18,3.125,0,16,3.08,8.86,3
"(10, 10)",19,2.777777778,0,18,3.22,22.72,7
"(10, 10)",20,2.272727273,0,22,3.14,16,4
"(10, 10)",21,2.5,0,20,3.26,26.42,6
"(10, 10)",22,2.173913043,0,23,3.24,22.48,7
"(10, 10)",23,1.5625,0,32,3.14,25.7,7
"(10, 10)",24,2.272727273,0,22,3.18,32.8,11
"(10, 10)",25,1.428571429,0,35,3.08,15.3,3
"(10, 10)",26,1.612903226,0,31,3.06,32.3,8
"(10, 10)",27,1.388888889,0,36,3.06,8.48,2
"(10, 10)",28,1.086956522,0,46,3.02,35.58,10
"(10, 10)",29,1.219512195,0,41,3.06,18.84,4
"(10, 10)",30,1.136363636,0,44,3.06,28.96,8
"(10, 10)",32,1.111111111,0,45,3.18,18.82,6
"(10, 10)",34,0.746268657,0,67,3.2,22.2,7
"(10, 10)",36,0.925925926,0,54,3,39.12,10
"(10, 10)",38,0.632911392,0,79,3,8.18,2
"(10, 10)",40,0.684931507,0,73,3.02,21.9,5
"(10, 10)",42,0.574712644,0,87,3.1,22.02,6
"(10, 10)",44,0.409836066,0,122,3.06,18.44,4
"(10, 10)",46,0.390625,0,128,3,38.88,10
"(10, 10)",48,0.393700787,0,127,3.06,25.24,6
"(10, 10)",50,0.364963504,0,137,3,21.8,5
"(10, 10)",52,0.203252033,0,246,3,32.02,5
"(10, 10)",54,0.279329609,0,179,3,18.34,4
"(10, 10)",56,0.231481481,0,216,3,15.06,4
"(10, 10)",58,0.184501845,0,271,3,21.6,3
"(10, 10)",60,0.279329609,0,179,3.06,28.68,9
"(10, 10)",65,0.089605735,0,558,3,21.64,6
"(10, 10)",70,0.059808612,0,836,3,18.28,5
"(10, 10)",75,0.078369906,0,638,3.06,25.04,6
"(10, 10)",80,0.051177073,0,977,3,18.24,3
"(10, 10)",85,0.023584906,0,2120,3,18.3,3
"(10, 10)",90,0.028074116,0,1781,3.06,14.9,4
"(15, 15)",10,50,0,1,3.68,10.98,10
"(15, 15)",15,12.5,0,4,3.56,29.44,5
"(15, 15)",20,6.25,0,8,3.42,36.3,5
"(15, 15)",25,3.571428571,0,14,3.3,27.28,8
"(15, 15)",30,3.846153846,0,13,3.06,35.6,4
"(15, 15)",35,2.083333333,0,24,3.06,59.36,6
"(15, 15)",40,1.785714286,0,28,3.06,51.12,6
"(15, 15)",45,1.19047619,0,42,3.06,58.88,4
"(15, 15)",50,1.162790698,0,43,3.02,67.44,8
"(15, 15)",55,0.980392157,0,51,3.06,50.64,7
"(15, 15)",60,0.724637681,0,69,3.06,42.36,4
"(15, 15)",65,0.543478261,0,92,3,58.86,7
"(15, 15)",70,0.446428571,0,112,3,34.2,3
"(15, 15)",75,0.409836066,0,122,3,58.9,6
"(15, 15)",80,0.328947368,0,152,3,50.6,6
"(15, 15)",85,0.5,0,100,3,42.38,4
"(15, 15)",90,0.340136054,0,147,3,42.34,5
"(15, 15)",95,0.23364486,0,214,3,25.78,3
"(15, 15)",100,0.201612903,0,248,3,42.28,4
"(15, 15)",105,0.192307692,0,260,3,34,4