Grid Size,Number of Colors,Average Number of Moves until Shuffle occurs,Average Number of Times Deadlock Occurred,Average Score per Move,Average Number of Possible Moves per Configuration,Average Number of Avalanche matches occurred
"(5, 5)",3,1000,0.1,6.402,7.361,76.4
"(5, 5)",5,13.15789474,7.6,4.013,4.349,27.9
"(5, 5)",7,3.703703704,27,3.581,4.088,20.2
"(5, 5)",9,1.712328767,58.4,3.334,4.193,15.6
"(5, 5)",11,0.974658869,102.6,3.242,5.053,15.5
"(7, 7)",3,inf,0,9.035,17.764,121.6
"(7, 7)",5,333.3333333,0.3,4.462,6.699,37.5
"(7, 7)",7,15.15151515,6.6,3.804,5.797,22.9
"(7, 7)",9,5.813953488,17.2,3.507,8.804,19
"(7, 7)",11,3.597122302,27.8,3.379,7.401,15
"(7, 7)",13,2.262443439,44.2,3.258,9.908,15.5
"(7, 7)",15,1.557632399,64.2,3.161,10.249,12.5
"(7, 7)",17,1.322751323,75.6,3.115,9.392,12
"(7, 7)",19,0.903342367,110.7,3.122,10.578,13.2
"(7, 7)",21,0.696864111,143.5,3.118,10.655,12.3
"(7, 7)",23,0.550964187,181.5,3.07,11.791,13.7
"(7, 7)",25,0.406008932,246.3,3.064,11.657,12.8
"(7, 7)",27,0.367782273,271.9,3.06,9.885,11.1
"(7, 7)",29,0.300210147,333.1,3.068,10.035,11.8
"(7, 7)",31,0.228571429,437.5,3.041,10.057,11.3
"(10, 10)",5,inf,0,5.071,15.622,50.8
"(10, 10)",7,62.5,1.6,3.909,9.461,23.7
"(10, 10)",9,22.22222222,4.5,3.633,11.142,18.7
"(10, 10)",11,9.523809524,10.5,3.464,16.028,17
"(10, 10)",13,6.289308176,15.9,3.352,17.529,15.4
"(10, 10)",15,4.62962963,21.6,3.262,17.897,13.6
"(10, 10)",17,3.460207612,28.9,3.238,20.949,14.8
"(10, 10)",19,2.583979328,38.7,3.19,24.314,15.1
"(10, 10)",21,2.028397566,49.3,3.175,21.648,13.5
"(10, 10)",23,1.748251748,57.2,3.169,20.697,13.2
"(10, 10)",25,1.385041551,72.2,3.123,21.424,12.4
"(10, 10)",27,1.204819277,83,3.077,21.11,12.3
"(10, 10)",30,0.903342367,110.7,3.067,21.579,12.4
"(10, 10)",35,0.611620795,163.5,3.054,21.097,11.5
"(10, 10)",40,0.472589792,211.6,3.041,21.911,11
"(10, 10)",45,0.373692078,267.6,3.042,19.94,10.4
"(10, 10)",50,0.289351852,345.6,3.02,21.096,10.7
"(10, 10)",55,0.217817469,459.1,3.019,22.448,11
"(10, 10)",60,0.182982617,546.5,3.022,24.456,12.6
"(10, 10)",65,0.12328936,811.1,3.024,22.177,10.8
"(10, 10)",70,0.095556617,1046.5,3.011,22.726,11.2
"(10, 10)",75,0.075041273,1332.6,3.005,21.331,10.8
"(15, 15)",10,47.61904762,2.1,3.72,16.568,18.6
"(15, 15)",15,12.98701299,7.7,3.441,30.777,15.3
"(15, 15)",20,6.896551724,14.5,3.269,36.106,12
"(15, 15)",25,4.273504274,23.4,3.244,43.188,13.9
"(15, 15)",30,2.915451895,34.3,3.157,43.929,11.8
"(15, 15)",35,1.937984496,51.6,3.122,47.186,12.5
"(15, 15)",40,1.592356688,62.8,3.074,48.205,11.6
"(15, 15)",45,1.233045623,81.1,3.061,52.177,12.6
"(15, 15)",50,0.984251969,101.6,3.059,48.406,11.6
"(15, 15)",55,0.787401575,127,3.043,48.771,11.1
"(15, 15)",60,0.634920635,157.5,3.044,46.634,10.6
"(15, 15)",65,0.546448087,183,3.047,53.566,12.5
"(15, 15)",70,0.448229494,223.1,3.027,58.436,12.9
"(15, 15)",75,0.38865138,257.3,3.022,50.171,11.6
"(15, 15)",80,0.333889816,299.5,3.011,49.758,10.8
"(15, 15)",85,0.278396437,359.2,3.012,46.835,10.4
"(15, 15)",90,0.238777459,418.8,3.027,48.909,10.9
"(20, 20)",10,100,1,3.803,22.645,19.2
"(20, 20)",14,30.3030303,3.3,3.677,33.291,17.2
"(20, 20)",20,13.88888889,7.2,3.401,49.088,12.8
"(20, 20)",25,8.064516129,12.4,3.276,61.207,11.7
"(20, 20)",30,5.555555556,18,3.251,73.308,12.5
"(20, 20)",35,4.016064257,24.9,3.206,74.157,12.1
"(20, 20)",40,3.134796238,31.9,3.142,78.262,11.5
"(20, 20)",45,2.525252525,39.6,3.11,83.311,12
"(20, 20)",50,2.040816327,49,3.08,89.124,12.5
"(20, 20)",55,1.610305958,62.1,3.052,88.146,11.4
"(20, 20)",60,1.338688086,74.7,3.057,88.805,11.4
"(20, 20)",65,1.131221719,88.4,3.037,90.985,12
"(20, 20)",70,0.962463908,103.9,3.032,102.144,13.1
"(20, 20)",75,0.84317032,118.6,3.03,73.582,9.8
"(20, 20)",80,0.73046019,136.9,3.019,89.248,11.4
"(20, 20)",85,0.694927033,143.9,3.027,91.547,11.2
"(20, 20)",90,0.575043128,173.9,3.03,89.979,11.2
"(20, 20)",95,0.509943906,196.1,3.033,78.694,9.6
"(20, 20)",100,0.427715997,233.8,3.02,104.158,12.6