Agent,Grid Size,Number of Colors,Mean regenerations during init,Median regenerations during init,Mean Matches Occurred during init,Median Matches Occurred during init,Mean Deadlocks during init,Median Deadlocks during init,Mean Shuffles/Deadlocks Occurred per move,Median Shuffles/Deadlocks Occurred per move,Mean Shuffles/Deadlocks Occurred per game,Median Shuffles/Deadlocks Occurred per game,Mean score per Game Setting,Median score per Game Setting,Mean Valid Moves Made,Median Valid Moves Made,Mean Possible/Playable Moves per config,Median Possible/Playable Moves per config,Mean Avalanche Matches per game,Median Avalanche Matches per game,Mean deterministic score after first move,Median deterministic score after first move,Mean non-deterministic score after first move,Median non-deterministic score after first move
top_agent,"(5, 5)",4,5.4,3.5,4.53,2.5,0.87,1,0.00041,0,0.0041,0,59.8264,59.93,10,10,7.3374,7.333,6.8968,6.93,3.31,3,2.4632,1.88
top_agent,"(5, 5)",5,2.2,1,1.545,0,0.655,1,0.01491,0.012,0.1491,0.12,47.4107,47.13,10,10,4.94381,4.879,4.3915,4.39,3.165,3,1.7362,1.21
top_agent,"(5, 5)",6,1.31,1,0.755,0,0.555,1,0.06513,0.064,0.6513,0.64,40.9758,40.53,10,10,4.25851,4.242,3.0315,2.9,3.12,3,1.1062,0.72
top_agent,"(5, 5)",7,0.85,0,0.315,0,0.535,0,0.14689,0.14,1.4689,1.4,37.6147,37.33,10,10,4.25163,4.18,2.3175,2.28,3.09,3,0.6987,0.41
top_agent,"(5, 5)",8,0.84,0,0.295,0,0.545,0,0.25491,0.251,2.5491,2.51,35.6549,35.4,10,10,4.35959,4.319,1.9303,1.9,3.135,3,0.4809,0.24
top_agent,"(5, 5)",9,0.805,0,0.205,0,0.6,0,0.39277,0.392,3.9277,3.92,34.3853,34.19,10,10,4.61284,4.58,1.7358,1.72,3.055,3,0.4055,0.18
top_agent,"(5, 5)",10,0.715,0,0.15,0,0.565,0,0.56669,0.573,5.6669,5.73,33.3846,33.29,10,10,4.85002,4.835,1.5612,1.56,3.025,3,0.3186,0.12
top_agent,"(5, 5)",15,1.335,1,0.16,0,1.175,1,2.193115773,2.111,21.7744,21.1,31.1997,31.18,9.9444,10,5.151668507,5.197609658,1.1875,1.18,3.01,3,0.1064,0.06
top_agent,"(5, 5)",20,2.26,1,0.17,0,2.09,1,10.08028843,9.035660641,77.1969,76.08,25.1003,26.04,8.1677,8.53,4.920064516,4.912171787,0.8411,0.84,3.02,3,0.0797,0
top_agent,"(5, 5)",25,4.295,3,0.2,0,4.095,3,24.03428128,21.14892337,113.404,113.26,16.1006,16.63,5.2737,5.47,4.306530923,4.395838464,0.5022,0.49,3.02,3,0.0733,0
top_agent,"(10, 10)",10,3.52,2,2.68,1,0.84,1,0.0137,0.002,0.137,0.02,35.9927,35.58,10,10,8.13167,7.467,1.6458,1.53,3.055,3,0.3949,0.15
top_agent,"(10, 10)",15,0.97,0.5,0.46,0,0.51,0.5,0.14566,0.151,1.4566,1.51,32.8586,32.7,10,10,14.55909,14.773,1.1872,1.18,3.02,3,0.1607,0.06
top_agent,"(10, 10)",20,0.65,0,0.2,0,0.45,0,0.33288,0.343,3.3288,3.43,31.871,31.68,10,10,18.59231,19.092,1.1428,1.12,3.035,3,0.1234,0
top_agent,"(10, 10)",25,0.6,0,0.145,0,0.455,0,0.55149,0.557,5.5149,5.57,31.1768,31.1,10,10,20.36914,20.64,1.1009,1.12,3.015,3,0.0421,0
top_agent,"(10, 10)",30,0.835,0,0.135,0,0.7,0,0.85375,0.867,8.5375,8.67,30.8409,30.8,10,10,20.59971,20.692,1.0346,1.04,3.005,3,0.0463,0
top_agent,"(10, 10)",35,1.185,1,0.175,0,1.01,1,1.21824,1.214,12.1824,12.14,30.5896,30.58,10,10,21.55326,21.454,1.0305,1.02,3,3,0.0222,0
top_agent,"(10, 10)",40,1.345,1,0.17,0,1.175,1,1.62053,1.602,16.2053,16.02,30.4853,30.44,10,10,22.12881,22.232,1.0411,1.04,3.01,3,0.0282,0
top_agent,"(10, 10)",45,1.955,1,0.17,0,1.785,1,2.15155,2.14,21.5155,21.4,30.396,30.34,10,10,22.13979,21.917,1.0212,1,3,3,0.0446,0
top_agent,"(10, 10)",50,2.3,2,0.14,0,2.16,2,2.81573,2.786,28.1573,27.86,30.3313,30.3,10,10,22.23764,22.152,1.0131,1,3.025,3,0.0239,0
top_agent,"(10, 10)",60,3.475,2,0.155,0,3.32,2,4.11987,4.041,41.1987,40.41,30.2005,30.18,10,10,22.39333,22.159,0.9977,1,3,3,0.0063,0
top_agent,"(10, 10)",70,4.695,3,0.16,0,4.535,3,6.360632829,6.039,63.599,60.39,30.1446,30.14,9.999,10,22.0718119,22.094,0.9742,0.98,3,3,0.0061,0
top_agent,"(10, 10)",80,5.7,4,0.15,0,5.55,4,8.934279568,8.421,89.0552,84.21,30.0455,30.08,9.9798,10,21.88206246,21.728,0.9607,0.98,3,3,0.0042,0
top_agent,"(10, 10)",90,7.52,5,0.185,0,7.335,5,13.3097082,12.41902834,130.0766,122.96,29.6197,29.94,9.8466,9.96,22.07004916,21.75032998,0.9586,0.95,3,3,0.0024,0
top_agent,"(10, 10)",100,10.215,7,0.095,0,10.12,7,17.40449304,16.64168377,164.332,162.26,28.8454,29.42,9.5865,9.78,22.02481386,21.83529502,0.9421,0.93,3.005,3,0.0189,0
top_agent,"(15, 15)",10,24.65384615,14.5,23.65384615,13.5,1,1,0,0,0,0,36.24153846,35.7,10,10,18.63630769,18.22,1.700769231,1.64,3,3,0.430769231,0.29
top_agent,"(15, 15)",15,4.13,3,3.295,2,0.835,1,0.01592,0,0.1592,0,33.641,32.95,10,10,12.42622,9.269,1.0156,0.79,3.025,3,0.2093,0.06
top_agent,"(15, 15)",20,1.23,1,0.63,0,0.6,1,0.08876,0.102,0.8876,1.02,32.5392,32.21,10,10,25.67673,28.362,0.9523,0.92,3.02,3,0.095,0.06
top_agent,"(15, 15)",25,0.895,0,0.425,0,0.47,0,0.1729,0.178,1.729,1.78,31.87,31.58,10,10,34.02515,34.231,0.9669,0.94,3.03,3,0.067,0
top_agent,"(15, 15)",30,0.68,0,0.225,0,0.455,0,0.27897,0.286,2.7897,2.86,31.4088,31.24,10,10,40.13106,40.371,1.0101,0.98,3.02,3,0.0496,0
top_agent,"(15, 15)",35,0.62,0,0.195,0,0.425,0,0.40034,0.405,4.0034,4.05,31.1249,31,10,10,43.72878,43.928,1.0259,1,3.03,3,0.0501,0
top_agent,"(15, 15)",40,0.655,0,0.155,0,0.5,0,0.52449,0.528,5.2449,5.28,30.8189,30.74,10,10,45.43935,45.841,1.0091,1,3.005,3,0.045,0
top_agent,"(15, 15)",45,0.605,0,0.09,0,0.515,0,0.69093,0.691,6.9093,6.91,30.6849,30.64,10,10,47.4777,47.805,1.0223,1.03,3,3,0.0284,0
top_agent,"(15, 15)",50,0.845,0,0.15,0,0.695,0,0.85273,0.865,8.5273,8.65,30.5392,30.52,10,10,48.51209,47.74,1.0193,1.02,3,3,0.0081,0
top_agent,"(15, 15)",100,3.41,2,0.09,0,3.32,2,3.66825,3.606,36.6825,36.06,30.1398,30.12,10,10,50.47985,49.73,1.0044,1.02,3.005,3,0.0045,0
top_agent,"(15, 15)",150,7.87,5,0.09,0,7.78,5,9.160262047,8.968,91.5835,89.68,30.0636,30.06,9.9984,10,50.60643394,50.45,0.9926,0.98,3,3,0.0021,0
top_agent,"(15, 15)",200,12.71,10,0.125,0,12.585,10,18.134065,17.56783716,175.746,172.2,29.3153,29.66,9.7593,9.88,49.6674138,49.3666148,0.9531,0.96,3.005,3,0.0012,0
top_agent,"(15, 15)",250,15,10,0,0,15,10,29.42272953,28.63740349,251.306,248.43,26.1,26.69,8.688,8.87,51.01561022,50.34625646,0.862,0.89,3,3,0,0
top_agent,"(20, 20)",15,20.915,13,19.97,12,0.945,1,0,0,0,0,33.7201,33.15,10,10,16.26763,15.906,1.0525,0.74,3.03,3,0.1936,0.06
top_agent,"(20, 20)",20,4.76,3,3.95,2,0.81,1,0.01391,0,0.1391,0,32.8418,32.03,10,10,15.98337,8.769,0.8168,0.51,3.045,3,0.155,0.06
top_agent,"(20, 20)",25,2.145,1,1.48,0,0.665,1,0.06668,0.087,0.6668,0.87,32.0602,31.81,10,10,38.08491,45.38,0.7246,0.71,3.045,3,0.1285,0
top_agent,"(20, 20)",30,1.365,1,0.76,0,0.605,1,0.12374,0.125,1.2374,1.25,31.8393,31.64,10,10,53.55794,54.516,0.8684,0.84,3.02,3,0.0763,0
top_agent,"(20, 20)",35,0.92,0,0.415,0,0.505,0,0.18459,0.187,1.8459,1.87,31.4658,31.28,10,10,62.15506,62.574,0.8975,0.87,3.015,3,0.0567,0
top_agent,"(20, 20)",40,0.745,0,0.295,0,0.45,0,0.25359,0.26,2.5359,2.6,31.2068,31.04,10,10,69.74363,70.967,0.9302,0.92,3.015,3,0.0455,0
top_agent,"(20, 20)",45,0.555,0,0.19,0,0.365,0,0.33569,0.342,3.3569,3.42,31.0517,30.9,10,10,76.00955,77.528,0.9934,0.98,3.005,3,0.0493,0
top_agent,"(20, 20)",50,0.49,0,0.095,0,0.395,0,0.4259,0.429,4.259,4.29,30.8499,30.72,10,10,79.00963,78.546,0.9931,0.96,3,3,0.0402,0
top_agent,"(20, 20)",100,1.495,1,0.11,0,1.385,1,1.74609,1.749,17.4609,17.49,30.2224,30.2,10,10,86.78864,86.959,0.9789,0.98,3.005,3,0.0024,0
top_agent,"(20, 20)",150,4.335,3,0.145,0,4.19,3,4.06107,4.089,40.6107,40.89,30.0943,30.08,10,10,88.37243,88.317,0.9763,0.97,3,3,0.0006,0
top_agent,"(20, 20)",200,6.895,4,0.14,0,6.755,4,7.496076782,7.401,74.9526,74.01,30.0602,30.06,9.9991,10,90.60854485,91.247,1.0072,1.02,3,3,0.0006,0
top_agent,"(20, 20)",250,12.015,8,0.115,0,11.9,8,11.94172024,11.786,119.253,117.86,30.0028,30.02,9.9875,10,88.20303343,86.715,0.9723,0.96,3,3,0.0003,0
top_agent,"(20, 20)",300,18.66666667,12.5,0.119047619,0,18.54761905,12.5,17.78390051,17.69019512,174.1271429,175.03,29.47404762,29.64,9.815952381,9.88,89.19596857,87.98848178,0.961428571,0.96,3,3,0,0
top_agent,"(20, 20)",350,21.390625,14.5,0.109375,0,21.28125,14.5,23.94361227,23.57658878,222.1003125,224.05,28.04625,28.34,9.3440625,9.44,86.96878323,87.36277023,0.908125,0.94,3,3,0,0
top_agent,"(20, 20)",400,25.4,18,0.133333333,0,25.26666667,18,32.13283363,32.00700935,250.0866667,248.02,24.02,24.96,8.001333333,8.32,88.69189731,91.80645161,0.8,0.78,3,3,0,0
bottom_agent,"(5, 5)",4,5.4,3.5,4.53,2.5,0.87,1,0.00068,0,0.0068,0,70.1422,69.65,10,10,7.28091,7.252,9.085,9.02,3.335,3,3.8195,2.78
bottom_agent,"(5, 5)",5,2.2,1,1.545,0,0.655,1,0.01807,0.016,0.1807,0.16,49.9269,49.62,10,10,4.89287,4.882,4.9999,4.91,3.17,3,1.9151,1.15
bottom_agent,"(5, 5)",6,1.31,1,0.755,0,0.555,1,0.07281,0.07,0.7281,0.7,41.9807,41.56,10,10,4.30788,4.272,3.2862,3.22,3.155,3,1.125,0.72
bottom_agent,"(5, 5)",7,0.85,0,0.315,0,0.535,0,0.1605,0.156,1.605,1.56,38.4822,38.12,10,10,4.38472,4.336,2.5731,2.5,3.17,3,0.8488,0.48
bottom_agent,"(5, 5)",8,0.84,0,0.295,0,0.545,0,0.27751,0.278,2.7751,2.78,36.0691,35.8,10,10,4.57382,4.58,2.087,2.04,3.1,3,0.5691,0.3
bottom_agent,"(5, 5)",9,0.805,0,0.205,0,0.6,0,0.40942,0.411,4.0942,4.11,34.7527,34.51,10,10,4.77402,4.777,1.8456,1.8,3.065,3,0.4528,0.18
bottom_agent,"(5, 5)",10,0.715,0,0.15,0,0.565,0,0.58869,0.59,5.8869,5.9,33.5016,33.33,10,10,4.96512,4.919,1.618,1.62,3.035,3,0.2738,0.12
bottom_agent,"(5, 5)",15,1.335,1,0.16,0,1.175,1,2.18726897,2.126,21.7326,21.23,31.2579,31.24,9.9498,10,5.170740689,5.189942385,1.2061,1.2,3.01,3,0.1612,0.06
bottom_agent,"(5, 5)",20,2.26,1,0.17,0,2.09,1,9.8902011,8.821901431,76.6515,76.02,25.2477,26.16,8.1928,8.5,4.992064484,4.998411277,0.882,0.86,3.02,3,0.1218,0
bottom_agent,"(5, 5)",25,4.295,3,0.2,0,4.095,3,23.87141031,21.16127536,113.2415,113.31,16.2228,16.62,5.3207,5.48,4.236662412,4.381730769,0.4841,0.46,3.02,3,0.056,0
bottom_agent,"(10, 10)",10,3.52,2,2.68,1,0.84,1,0.02633,0.015,0.2633,0.15,37.7994,37.33,10,10,9.22776,8.411,2.1797,2.09,3.07,3,0.8808,0.24
bottom_agent,"(10, 10)",15,0.97,0.5,0.46,0,0.51,0.5,0.17128,0.171,1.7128,1.71,33.7046,33.19,10,10,16.59946,16.479,1.4864,1.36,3.04,3,0.326,0.06
bottom_agent,"(10, 10)",20,0.65,0,0.2,0,0.45,0,0.36002,0.367,3.6002,3.67,32.263,32.06,10,10,20.03181,20.317,1.3188,1.28,3.03,3,0.1925,0
bottom_agent,"(10, 10)",25,0.6,0,0.145,0,0.455,0,0.57224,0.577,5.7224,5.77,31.3914,31.32,10,10,21.01447,20.94,1.172,1.18,3.01,3,0.0685,0
bottom_agent,"(10, 10)",30,0.835,0,0.135,0,0.7,0,0.88574,0.879,8.8574,8.79,30.9695,30.89,10,10,21.65275,21.534,1.1081,1.1,3.005,3,0.0434,0
bottom_agent,"(10, 10)",35,1.185,1,0.175,0,1.01,1,1.24943,1.243,12.4943,12.43,30.6575,30.62,10,10,22.40673,22.792,1.0989,1.1,3,3,0.0206,0
bottom_agent,"(10, 10)",40,1.345,1,0.17,0,1.175,1,1.65709,1.645,16.5709,16.45,30.5898,30.52,10,10,22.60356,22.514,1.088,1.07,3.01,3,0.0599,0
bottom_agent,"(10, 10)",45,1.955,1,0.17,0,1.785,1,2.17068,2.167,21.7068,21.67,30.4122,30.4,10,10,22.47516,22.53,1.0511,1.04,3,3,0.0264,0
bottom_agent,"(10, 10)",50,2.3,2,0.14,0,2.16,2,2.8166,2.772,28.166,27.72,30.3472,30.32,10,10,22.33034,22.42,1.0285,1.02,3.015,3,0.0247,0
bottom_agent,"(10, 10)",60,3.475,2,0.155,0,3.32,2,4.16872,4.136,41.6872,41.36,30.2515,30.22,10,10,22.4655,22.469,1.0214,1.02,3,3,0.0234,0
bottom_agent,"(10, 10)",70,4.695,3,0.16,0,4.535,3,6.328073748,6.087,63.2635,60.87,30.1526,30.14,9.9981,10,22.15929382,22.118,0.9909,0.98,3,3,0.0048,0
bottom_agent,"(10, 10)",80,5.7,4,0.15,0,5.55,4,8.89978222,8.534,88.6812,85.34,30.0492,30.09,9.9776,10,21.97325094,21.90268652,0.9713,0.96,3,3,0.0045,0
bottom_agent,"(10, 10)",90,7.52,5,0.185,0,7.335,5,13.40200049,12.74442394,130.3786,126.73,29.5547,29.9,9.8218,9.95,21.98761929,22.016,0.9538,0.96,3,3,0.0027,0
bottom_agent,"(10, 10)",100,10.215,7,0.095,0,10.12,7,17.52157144,16.61131643,165.8947,163.45,28.8996,29.54,9.6043,9.83,21.74581645,21.70187472,0.9228,0.92,3.005,3,0.0165,0
bottom_agent,"(15, 15)",10,24.65384615,14.5,23.65384615,13.5,1,1,0,0,0,0,42.78923077,41.41,10,10,16.68330769,17.458,3.257692308,3.22,3.038461538,3,1.338461538,0.54
bottom_agent,"(15, 15)",15,4.13,3,3.295,2,0.835,1,0.03014,0.008,0.3014,0.08,34.6744,34.42,10,10,16.41364,10.699,1.3358,1.26,3.035,3,0.5784,0.06
bottom_agent,"(15, 15)",20,1.23,1,0.63,0,0.6,1,0.10749,0.11,1.0749,1.1,33.2883,32.86,10,10,30.3387,31.153,1.2205,1.14,3.02,3,0.2402,0.06
bottom_agent,"(15, 15)",25,0.895,0,0.425,0,0.47,0,0.1965,0.201,1.965,2.01,32.5067,32.13,10,10,38.78067,39.172,1.2185,1.18,3.045,3,0.2335,0
bottom_agent,"(15, 15)",30,0.68,0,0.225,0,0.455,0,0.30267,0.312,3.0267,3.12,31.7771,31.54,10,10,43.4194,43.632,1.1645,1.12,3.035,3,0.1229,0
bottom_agent,"(15, 15)",35,0.62,0,0.195,0,0.425,0,0.42133,0.424,4.2133,4.24,31.2485,31.12,10,10,45.71313,45.637,1.1023,1.08,3.025,3,0.067,0
bottom_agent,"(15, 15)",40,0.655,0,0.155,0,0.5,0,0.54854,0.551,5.4854,5.51,30.9515,30.87,10,10,47.50509,47.582,1.0777,1.06,3.01,3,0.0249,0
bottom_agent,"(15, 15)",45,0.605,0,0.09,0,0.515,0,0.71343,0.72,7.1343,7.2,30.8015,30.76,10,10,49.1196,49.461,1.0809,1.06,3.005,3,0.0465,0
bottom_agent,"(15, 15)",50,0.845,0,0.15,0,0.695,0,0.87436,0.874,8.7436,8.74,30.6179,30.58,10,10,49.38728,49.327,1.0595,1.06,3,3,0.0261,0
bottom_agent,"(15, 15)",100,3.41,2,0.09,0,3.32,2,3.75058,3.72,37.5058,37.2,30.1573,30.14,10,10,50.73423,50.599,1.0156,1,3,3,0.003,0
bottom_agent,"(15, 15)",150,7.87,5,0.09,0,7.78,5,9.158719527,8.908,91.5341,89.08,30.0642,30.06,9.9956,10,50.1121773,50.475,0.9811,1,3,3,0.0013,0
bottom_agent,"(15, 15)",200,12.71,10,0.125,0,12.585,10,18.10505887,17.48361771,175.3694,172.79,29.3187,29.7,9.7581,9.88,49.7379758,50.17621749,0.9554,0.96,3.005,3,0.0015,0
bottom_agent,"(15, 15)",250,15,10,0,0,15,10,29.64501918,30.5273923,252.304,259.41,25.832,26.07,8.606,8.69,48.36991055,48.74818512,0.826,0.8,3,3,0,0
bottom_agent,"(20, 20)",15,20.915,13,19.97,12,0.945,1,0.00011,0,0.0011,0,36.9147,36,10,10,14.71225,14.437,1.862,1.66,3.065,3,0.9746,0.14
bottom_agent,"(20, 20)",20,4.76,3,3.95,2,0.81,1,0.02508,0,0.2508,0,33.8415,33.57,10,10,22.42908,9.591,1.1062,1.12,3.065,3,0.457,0.06
bottom_agent,"(20, 20)",25,2.145,1,1.48,0,0.665,1,0.08381,0.098,0.8381,0.98,32.8238,32.55,10,10,46.47166,51.687,0.9957,0.98,3.02,3,0.2269,0
bottom_agent,"(20, 20)",30,1.365,1,0.76,0,0.605,1,0.13849,0.138,1.3849,1.38,32.2438,31.92,10,10,59.42029,58.609,1.0284,0.96,3.015,3,0.1396,0
bottom_agent,"(20, 20)",35,0.92,0,0.415,0,0.505,0,0.20119,0.204,2.0119,2.04,31.7266,31.52,10,10,68.30741,67.667,1.0295,0.98,3.025,3,0.1293,0
bottom_agent,"(20, 20)",40,0.745,0,0.295,0,0.45,0,0.27181,0.273,2.7181,2.73,31.4538,31.25,10,10,74.49313,76.158,1.0463,1.02,3.01,3,0.0937,0
bottom_agent,"(20, 20)",45,0.555,0,0.19,0,0.365,0,0.35119,0.36,3.5119,3.6,31.267,31.04,10,10,77.94862,78.726,1.0768,1.02,3.005,3,0.1381,0
bottom_agent,"(20, 20)",50,0.49,0,0.095,0,0.395,0,0.44179,0.449,4.4179,4.49,30.9451,30.82,10,10,81.29718,81.765,1.0476,1.03,3,3,0.0724,0
bottom_agent,"(20, 20)",100,1.495,1,0.11,0,1.385,1,1.7662,1.774,17.662,17.74,30.237,30.22,10,10,88.85682,89.918,1.0035,1,3.005,3,0.0009,0
bottom_agent,"(20, 20)",150,4.335,3,0.145,0,4.19,3,4.09176,4.073,40.9176,40.73,30.103,30.1,10,10,89.68892,89.793,0.9976,1,3,3,0.0012,0
bottom_agent,"(20, 20)",200,6.895,4,0.14,0,6.755,4,7.5288,7.558,75.288,75.58,30.069,30.06,10,10,90.90327,89.762,1.0073,1,3,3,0.0156,0
bottom_agent,"(20, 20)",250,12.015,8,0.115,0,11.9,8,11.87903361,11.669,118.6323,116.51,30.0064,30.02,9.9885,10,88.7975432,88.23,0.9799,0.98,3,3,0.0006,0
bottom_agent,"(20, 20)",300,18.66666667,12.5,0.119047619,0,18.54761905,12.5,17.84689971,17.83535503,174.9842857,176.55,29.51238095,29.55,9.826428571,9.84,88.53012665,89.51033058,0.96452381,0.96,3,3,0,0
bottom_agent,"(20, 20)",350,21.390625,14.5,0.109375,0,21.28125,14.5,23.73105494,23.61316873,220.9790625,221.38,28.1525,28.57,9.378125,9.52,86.8423342,85.31939094,0.916875,0.9,3,3,0,0
bottom_agent,"(20, 20)",400,25.4,18,0.133333333,0,25.26666667,18,32.16788565,31.3764988,250.9146667,249.5,24.204,25.32,8.064,8.44,87.86495129,87.34482759,0.8,0.78,3,3,0,0
NotApplicable,"(10, 10)",5,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(15, 15)",5,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(15, 15)",10,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(20, 20)",5,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(20, 20)",10,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(20, 20)",300,100,100,1,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(20, 20)",350,100,100,1,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0