grid_size,color_end
"5, 5",4
"5, 5",5
"5, 5",10
"5, 5",15
"5, 5",20
"5, 5",25
"5, 5",30
"10, 10",5
"10, 10",10
"10, 10",15
"10, 10",20
"10, 10",25
"10, 10",30
"10, 10",35
"10, 10",40
"10, 10",45
"10, 10",50
"10, 10",60
"10, 10",70
"10, 10",80
"10, 10",90
"10, 10",100
"15, 15",5
"15, 15",10
"15, 15",15
"15, 15",20
"15, 15",25
"15, 15",30
"15, 15",35
"15, 15",40
"15, 15",45
"15, 15",50
"15, 15",100
"15, 15",150
"15, 15",200
"15, 15",225
"20, 20",5
"20, 20",10
"20, 20",15
"20, 20",20
"20, 20",25
"20, 20",30
"20, 20",35
"20, 20",40
"20, 20",45
"20, 20",50
"20, 20",100
"20, 20",150
"20, 20",200
"20, 20",250
"20, 20",300
"20, 20",350
"20, 20",400