Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Average No. of Regenerations until valid board generation per game setting,Total No. of Times Matches Occurred during init,Average No. of Times Matches Occurred during init per game setting,Total No. of Deadlocks during init,Average No. of Deadlocks during init per game setting,Total No. of Shuffles/Deadlocks Occurred,Average No. of Shuffles/Deadlocks Occurred per game setting,Average No. of Moves until Shuffle occurs per game setting,Total score per Game Setting,Average Score per game setting,Average Score per Move,Total Valid Moves Made,Average No. of Valid Moves made per game setting,Total No. of Possible Moves,Average No. of Possible Moves per Configuration,Total No. of Avalanche Matches,Average No. of Avalanche matches per game setting,Total Moves Available per Game Setting,Experiment Repeat,Probability that a deadlock will occur in the given game setting
"(5, 5)",3,103,10.3,103,10.3,0,0,1,0.1,1000,6470,647,6.47,1000,100,7382,7.382,751,75.1,100,10,0.000999001
"(5, 5)",4,42,4.2,42,4.2,0,0,23,2.3,43.47826087,4924,492.4,4.924,1000,100,4938,4.938,467,46.7,100,10,0.022482893
"(5, 5)",6,7,0.7,6,0.6,1,0.1,167,16.7,5.988023952,3809,380.9,3.809,1000,100,4328,4.328,255,25.5,100,10,0.143101971
"(5, 5)",8,14,1.4,11,1.1,3,0.3,414,41.4,2.415458937,3479,347.9,3.479,1000,100,4684,4.684,185,18.5,100,10,0.292786421
"(5, 5)",10,10,1,7,0.7,3,0.3,837,83.7,1.19474313,3264,326.4,3.264,1000,100,4727,4.727,145,14.5,100,10,0.455634186
"(5, 5)",12,8,0.8,3,0.3,5,0.5,1381,138.1,0.724112962,3194,319.4,3.194,1000,100,5135,5.135,146,14.6,100,10,0.5800084
"(5, 5)",14,10,1,3,0.3,7,0.7,6577,657.7,0.110688764,2290,229,3.145604396,728,72.8,4191,4.191,107,10.7,100,10,0.900342231
"(5, 5)",16,24,2.4,2,0.2,22,2.2,8944,894.4,0.072674419,2018,201.8,3.104615385,650,65,3196,3.196,78,7.8,100,10,0.932249322
"(5, 5)",18,17,1.7,0,0,17,1.7,10925,1092.5,0.019496568,657,65.7,3.084507042,213,21.3,1135,1.135,25,2.5,100,10,0.980876279
"(5, 5)",20,38,3.8,3,0.3,35,3.5,10675,1067.5,0.011428571,386,38.6,3.163934426,122,12.2,733,0.733,21,2.1,100,10,0.988700565
"(5, 5)",22,40,4,4,0.4,36,3.6,10248,1024.8,0.005757221,180,18,3.050847458,59,5.9,200,0.2,5,0.5,100,10,0.994275735
"(7, 7)",4,343,34.3,343,34.3,0,0,0,0,inf,5816,581.6,5.816,1000,100,10971,10.971,656,65.6,100,10,0
"(7, 7)",6,47,4.7,47,4.7,0,0,20,2,50,4258,425.8,4.258,1000,100,5932,5.932,337,33.7,100,10,0.019607843
"(7, 7)",8,18,1.8,18,1.8,0,0,111,11.1,9.009009009,3678,367.8,3.678,1000,100,7315,7.315,214,21.4,100,10,0.099909991
"(7, 7)",10,15,1.5,15,1.5,0,0,221,22.1,4.524886878,3505,350.5,3.505,1000,100,8978,8.978,203,20.3,100,10,0.180999181
"(7, 7)",12,11,1.1,11,1.1,0,0,386,38.6,2.590673575,3346,334.6,3.346,1000,100,8702,8.702,163,16.3,100,10,0.278499278
"(7, 7)",14,7,0.7,4,0.4,3,0.3,513,51.3,1.949317739,3307,330.7,3.307,1000,100,9994,9.994,158,15.8,100,10,0.339061467
"(7, 7)",16,3,0.3,3,0.3,0,0,706,70.6,1.416430595,3162,316.2,3.162,1000,100,10267,10.267,137,13.7,100,10,0.413833529
"(7, 7)",18,16,1.6,10,1,6,0.6,992,99.2,1.008064516,3114,311.4,3.114,1000,100,10142,10.142,118,11.8,100,10,0.497991968
"(7, 7)",20,7,0.7,1,0.1,6,0.6,1211,121.1,0.825763832,3094,309.4,3.094,1000,100,10158,10.158,120,12,100,10,0.547715966
"(7, 7)",22,3,0.3,1,0.1,2,0.2,1430,143,0.699300699,3083,308.3,3.083,1000,100,9419,9.419,114,11.4,100,10,0.588477366
"(7, 7)",24,11,1.1,6,0.6,5,0.5,1956,195.6,0.511247444,3044,304.4,3.044,1000,100,10729,10.729,110,11,100,10,0.661705007
"(7, 7)",26,9,0.9,1,0.1,8,0.8,2499,249.9,0.400160064,3050,305,3.05,1000,100,10445,10.445,109,10.9,100,10,0.714204058
"(7, 7)",28,13,1.3,2,0.2,11,1.1,3116,311.6,0.320924262,3054,305.4,3.054,1000,100,9676,9.676,113,11.3,100,10,0.757045675
"(7, 7)",30,17,1.7,2,0.2,15,1.5,4029,402.9,0.248200546,3054,305.4,3.054,1000,100,10954,10.954,127,12.7,100,10,0.801153311
"(7, 7)",32,23,2.3,2,0.2,21,2.1,5907,590.7,0.160148976,2904,290.4,3.069767442,946,94.6,10063,10.063,115,11.5,100,10,0.861958266
"(7, 7)",34,28,2.8,1,0.1,27,2.7,9128,912.8,0.090490798,2496,249.6,3.021791768,826,82.6,7689,7.689,82,8.2,100,10,0.917018284
"(7, 7)",36,50,5,4,0.4,46,4.6,9437,943.7,0.087845714,2506,250.6,3.02291918,829,82.9,7375,7.375,78,7.8,100,10,0.919248003
"(7, 7)",38,36,3.6,6,0.6,30,3,11679,1167.9,0.042640637,1504,150.4,3.020080321,498,49.8,4346,4.346,43,4.3,100,10,0.959103227
"(7, 7)",40,49,4.9,1,0.1,48,4.8,15775,1577.5,0.030110935,1443,144.3,3.037894737,475,47.5,5381,5.381,61,6.1,100,10,0.970769231
"(7, 7)",42,34,3.4,1,0.1,33,3.3,12774,1277.4,0.01949272,757,75.7,3.040160643,249,24.9,2395,2.395,24,2.4,100,10,0.980879982
"(7, 7)",44,39,3.9,2,0.2,37,3.7,13697,1369.7,0.023508798,969,96.9,3.00931677,322,32.2,3450,3.45,37,3.7,100,10,0.977031172
"(10, 10)",5,3330,333,3330,333,0,0,0,0,inf,5124,512.4,5.124,1000,100,17656,17.656,502,50.2,100,10,0
"(10, 10)",10,38,3.8,38,3.8,0,0,72,7.2,13.88888889,3699,369.9,3.699,1000,100,13848,13.848,204,20.4,100,10,0.067164179
"(10, 10)",15,10,1,10,1,0,0,218,21.8,4.587155963,3306,330.6,3.306,1000,100,17939,17.939,141,14.1,100,10,0.178981938
"(10, 10)",20,9,0.9,6,0.6,3,0.3,415,41.5,2.409638554,3166,316.6,3.166,1000,100,21317,21.317,135,13.5,100,10,0.293286219
"(10, 10)",25,12,1.2,10,1,2,0.2,666,66.6,1.501501502,3097,309.7,3.097,1000,100,21505,21.505,121,12.1,100,10,0.399759904
"(10, 10)",30,10,1,3,0.3,7,0.7,986,98.6,1.014198783,3089,308.9,3.089,1000,100,21653,21.653,116,11.6,100,10,0.496475327
"(10, 10)",35,14,1.4,2,0.2,12,1.2,1402,140.2,0.713266762,3071,307.1,3.071,1000,100,23720,23.72,122,12.2,100,10,0.583680266
"(10, 10)",40,11,1.1,2,0.2,9,0.9,2073,207.3,0.482392668,3029,302.9,3.029,1000,100,21352,21.352,112,11.2,100,10,0.674585096
"(10, 10)",45,24,2.4,3,0.3,21,2.1,2698,269.8,0.370644922,3051,305.1,3.051,1000,100,23236,23.236,126,12.6,100,10,0.729583559
"(10, 10)",50,22,2.2,3,0.3,19,1.9,3259,325.9,0.30684259,3026,302.6,3.026,1000,100,22649,22.649,110,11,100,10,0.765203099
"(10, 10)",55,75,7.5,2,0.2,73,7.3,4222,422.2,0.236854571,3023,302.3,3.023,1000,100,21225,21.225,105,10.5,100,10,0.808502489
"(10, 10)",60,19,1.9,1,0.1,18,1.8,5737,573.7,0.174307129,3022,302.2,3.022,1000,100,20866,20.866,111,11.1,100,10,0.851565979
"(10, 10)",65,25,2.5,2,0.2,23,2.3,7164,716.4,0.139586823,3014,301.4,3.014,1000,100,24138,24.138,125,12.5,100,10,0.877511024
"(10, 10)",70,45,4.5,4,0.4,41,4.1,10572,1057.2,0.094589482,3000,300,3,1000,100,21672,21.672,106,10.6,100,10,0.913584514
"(10, 10)",75,27,2.7,4,0.4,23,2.3,14564,1456.4,0.068662455,3004,300.4,3.004,1000,100,22549,22.549,110,11,100,10,0.935749165
"(10, 10)",80,97,9.7,3,0.3,94,9.4,17781,1778.1,0.045498003,2433,243.3,3.007416564,809,80.9,17693,17.693,78,7.8,100,10,0.95648198
"(10, 10)",85,78,7.8,3,0.3,75,7.5,27059,2705.9,0.026904172,2187,218.7,3.004120879,728,72.8,16049,16.049,81,8.1,100,10,0.973800698
"(10, 10)",90,66,6.6,1,0.1,65,6.5,30604,3060.4,0.018559665,1707,170.7,3.00528169,568,56.8,12955,12.955,70,7,100,10,0.981778519
"(10, 10)",95,81,8.1,0,0,81,8.1,24701,2470.1,0.018055949,1341,134.1,3.006726457,446,44.6,8176,8.176,39,3.9,100,10,0.982264286
"(10, 10)",100,87,8.7,1,0.1,86,8.6,26811,2681.1,0.013539219,1090,109,3.002754821,363,36.3,6388,6.388,29,2.9,100,10,0.986641643
"(15, 15)",5,10000,1000,10010,1001,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,100,10,#DIV/0!
"(15, 15)",15,39,3.9,39,3.9,0,0,72,7.2,13.88888889,3483,348.3,3.483,1000,100,28258,28.258,149,14.9,100,10,0.067164179
"(15, 15)",25,5,0.5,5,0.5,0,0,234,23.4,4.273504274,3192,319.2,3.192,1000,100,38232,38.232,119,11.9,100,10,0.189627229
"(15, 15)",35,6,0.6,4,0.4,2,0.2,493,49.3,2.028397566,3097,309.7,3.097,1000,100,45611,45.611,116,11.6,100,10,0.330207636
"(15, 15)",45,5,0.5,2,0.2,3,0.3,803,80.3,1.245330012,3086,308.6,3.086,1000,100,48150,48.15,123,12.3,100,10,0.44536883
"(15, 15)",55,7,0.7,2,0.2,5,0.5,1188,118.8,0.841750842,3048,304.8,3.048,1000,100,48700,48.7,114,11.4,100,10,0.542961609
"(15, 15)",65,16,1.6,4,0.4,12,1.2,1734,173.4,0.576701269,3039,303.9,3.039,1000,100,56884,56.884,131,13.1,100,10,0.634235552
"(15, 15)",75,18,1.8,1,0.1,17,1.7,2609,260.9,0.383288616,3019,301.9,3.019,1000,100,51837,51.837,114,11.4,100,10,0.722914935
"(15, 15)",85,21,2.1,0,0,21,2.1,3402,340.2,0.293944738,3009,300.9,3.009,1000,100,51747,51.747,111,11.1,100,10,0.772830532
"(15, 15)",95,24,2.4,1,0.1,23,2.3,4175,417.5,0.239520958,3006,300.6,3.006,1000,100,50140,50.14,110,11,100,10,0.806763285
"(15, 15)",105,36,3.6,1,0.1,35,3.5,5574,557.4,0.179404377,3013,301.3,3.013,1000,100,53399,53.399,110,11,100,10,0.84788561
"(15, 15)",115,32,3.2,1,0.1,31,3.1,7285,728.5,0.13726836,3004,300.4,3.004,1000,100,51733,51.733,112,11.2,100,10,0.87929994
"(15, 15)",125,40,4,0,0,40,4,8868,886.8,0.112764998,3011,301.1,3.011,1000,100,53383,53.383,116,11.6,100,10,0.898662343
"(15, 15)",135,60,6,1,0.1,59,5.9,10448,1044.8,0.095712098,3002,300.2,3.002,1000,100,53765,53.765,113,11.3,100,10,0.912648498
"(15, 15)",145,44,4.4,1,0.1,43,4.3,13490,1349,0.074128984,3004,300.4,3.004,1000,100,49191,49.191,104,10.4,100,10,0.930986888
"(15, 15)",155,130,13,1,0.1,129,12.9,15245,1524.5,0.065595277,3000,300,3,1000,100,45926,45.926,96,9.6,100,10,0.938442598
"(15, 15)",165,119,11.9,1,0.1,118,11.8,22922,2292.2,0.043626211,3003,300.3,3.003,1000,100,47955,47.955,103,10.3,100,10,0.958197475
"(15, 15)",175,61,6.1,1,0.1,60,6,24222,2422.2,0.041284782,3006,300.6,3.006,1000,100,53713,53.713,118,11.8,100,10,0.960352074
"(15, 15)",185,98,9.8,1,0.1,97,9.7,31211,3121.1,0.032039986,3001,300.1,3.001,1000,100,51241,51.241,110,11,100,10,0.968954705
"(15, 15)",195,176,17.6,3,0.3,173,17.3,50766,5076.6,0.019599732,2991,299.1,3.006030151,995,99.5,49598,49.598,106,10.6,100,10,0.980777033
"(20, 20)",5,10000,1000,10010,1001,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,100,10,#DIV/0!
"(20, 20)",15,198,19.8,198,19.8,0,0,31,3.1,32.25806452,3628,362.8,3.628,1000,100,32211,32.211,151,15.1,100,10,0.030067895
"(20, 20)",25,26,2.6,26,2.6,0,0,113,11.3,8.849557522,3346,334.6,3.346,1000,100,59316,59.316,119,11.9,100,10,0.101527403
"(20, 20)",35,4,0.4,4,0.4,0,0,218,21.8,4.587155963,3157,315.7,3.157,1000,100,65450,65.45,99,9.9,100,10,0.178981938
"(20, 20)",45,4,0.4,3,0.3,1,0.1,391,39.1,2.557544757,3094,309.4,3.094,1000,100,76674,76.674,100,10,100,10,0.281092739
"(20, 20)",55,2,0.2,1,0.1,1,0.1,536,53.6,1.865671642,3060,306,3.06,1000,100,76275,76.275,97,9.7,100,10,0.348958333
"(20, 20)",65,10,1,3,0.3,7,0.7,878,87.8,1.138952164,3044,304.4,3.044,1000,100,84984,84.984,116,11.6,100,10,0.467518637
"(20, 20)",75,10,1,0,0,10,1,1030,103,0.970873786,3031,303.1,3.031,1000,100,71379,71.379,90,9,100,10,0.507389163
"(20, 20)",85,6,0.6,1,0.1,5,0.5,1510,151,0.662251656,3028,302.8,3.028,1000,100,86217,86.217,107,10.7,100,10,0.601593625
"(20, 20)",95,32,3.2,6,0.6,26,2.6,1899,189.9,0.526592944,3017,301.7,3.017,1000,100,92162,92.162,116,11.6,100,10,0.655053467
"(20, 20)",105,14,1.4,2,0.2,12,1.2,2305,230.5,0.433839479,3018,301.8,3.018,1000,100,74106,74.106,94,9.4,100,10,0.697428139
"(20, 20)",115,31,3.1,3,0.3,28,2.8,2808,280.8,0.356125356,3017,301.7,3.017,1000,100,85336,85.336,105,10.5,100,10,0.737394958
"(20, 20)",125,20,2,2,0.2,18,1.8,3516,351.6,0.284414107,3014,301.4,3.014,1000,100,82315,82.315,102,10.2,100,10,0.778565102
"(20, 20)",135,61,6.1,2,0.2,59,5.9,3595,359.5,0.278164117,3007,300.7,3.007,1000,100,84569,84.569,101,10.1,100,10,0.782372144
"(20, 20)",145,38,3.8,4,0.4,34,3.4,4716,471.6,0.212044105,3016,301.6,3.016,1000,100,95841,95.841,123,12.3,100,10,0.825052484
"(20, 20)",155,42,4.2,3,0.3,39,3.9,5598,559.8,0.178635227,3014,301.4,3.014,1000,100,75527,75.527,93,9.3,100,10,0.848438921
"(20, 20)",165,36,3.6,2,0.2,34,3.4,6637,663.7,0.150670484,3003,300.3,3.003,1000,100,83012,83.012,98,9.8,100,10,0.869058531
"(20, 20)",175,33,3.3,2,0.2,31,3.1,6854,685.4,0.145900204,3007,300.7,3.007,1000,100,88989,88.989,115,11.5,100,10,0.872676343
"(20, 20)",185,78,7.8,2,0.2,76,7.6,8608,860.8,0.116171004,3009,300.9,3.009,1000,100,84494,84.494,102,10.2,100,10,0.895920067
"(20, 20)",195,104,10.4,0,0,104,10.4,10210,1021,0.097943193,3006,300.6,3.006,1000,100,89724,89.724,110,11,100,10,0.910793934